cod;UF;populacao
1507755;PA;6088
1507805;PA;11305
1507904;PA;25752
1507953;PA;111554
1507961;PA;11971
1507979;PA;19063
1508001;PA;64604
1508035;PA;31549
1508050;PA;19344
1508084;PA;40661
1508100;PA;116605
1508126;PA;62286
1508159;PA;45395
1508209;PA;54650
1508308;PA;62093
1508357;PA;15421
1508407;PA;45416
1600055;AP;5577
1600105;AP;9265
1600154;AP;17625
1600204;AP;11493
1600212;AP;6217
1600238;AP;8151
1600253;AP;5730
1600279;AP;52302
1600303;AP;522357
1600402;AP;22468
1600501;AP;28534
1600535;AP;22927
1600550;AP;5370
1600600;AP;124808
1600709;AP;18217
1600808;AP;16572
1700251;TO;2609
1700301;TO;7049
1700350;TO;5303
1700400;TO;6905
1700707;TO;8381
1701002;TO;9435
1701051;TO;3475
1701101;TO;4901
1701309;TO;5705
1701903;TO;7223
1702000;TO;8418
1702109;TO;186245
1702158;TO;5856
1702208;TO;36573
1702307;TO;6590
1702406;TO;10502
1702554;TO;18870
1702703;TO;3809
1702901;TO;9817
1703008;TO;10668
1703057;TO;3631
1703073;TO;4673
1703107;TO;5669
1703206;TO;4439
1703305;TO;5120
1703602;TO;2221
1703701;TO;5540
1703800;TO;11644
1703826;TO;2293
1703842;TO;10505
1703867;TO;4499
1703883;TO;2627
1703891;TO;4165
1703909;TO;5514
1704105;TO;2966
1704600;TO;1415
1705102;TO;3330
1705508;TO;36271
1705557;TO;4870
1705607;TO;4070
1706001;TO;5690
1706100;TO;7268
1706258;TO;1749
1706506;TO;6250
1707009;TO;22704
1707108;TO;6986
1707207;TO;7173
1707306;TO;4686
1707405;TO;11280
1707553;TO;3824
1707652;TO;5222
1707702;TO;8892
1708205;TO;18358
1708254;TO;2615
1708304;TO;5136
1709005;TO;13169
1709302;TO;26403
1709500;TO;88428
1709807;TO;2088
1710508;TO;7471
1710706;TO;5801
1710904;TO;3814
1711100;TO;2412
1711506;TO;3906
1711803;TO;2174
1711902;TO;13989
1711951;TO;4470
1712009;TO;3199
1712157;TO;1984
1712405;TO;3727
1712454;TO;3200
1712504;TO;5332
1712702;TO;2773
1712801;TO;3470
1713205;TO;17628
1713304;TO;13551
1713601;TO;8182
1713700;TO;2311
1713809;TO;6830
1713957;TO;3623
1714203;TO;9256
1714302;TO;3772
1714880;TO;12014
1715002;TO;4348
1715101;TO;4450
1715150;TO;2332
1715259;TO;2768
1715507;TO;1124
1715705;TO;6234
1715754;TO;7694
1716109;TO;52521
1716208;TO;10426
1716307;TO;4885
1716505;TO;13964
1716604;TO;11996
1716653;TO;5546
1716703;TO;8078
1717008;TO;4414
1717206;TO;3038
1717503;TO;7830
1717800;TO;4586
1717909;TO;8192
1718006;TO;3200
1718204;TO;53618
1718303;TO;8563
1718402;TO;3668
1718451;TO;2746
1718501;TO;4389
1718550;TO;4723
1718659;TO;2211
1718709;TO;2879
1718758;TO;6498
1718808;TO;4876
1718840;TO;3371
1718865;TO;7678
1718881;TO;3537
1718899;TO;2407
1718907;TO;4864
1719004;TO;2928
1720002;TO;2530
1720101;TO;5457
1720150;TO;1610
1720200;TO;12445
1720259;TO;3106
1720309;TO;4898
1720499;TO;3848
1720655;TO;5452
1720804;TO;8965
1720853;TO;2007
1720903;TO;16966
1720937;TO;2183
1720978;TO;2831
1721000;TO;313349
1721109;TO;7688
1721208;TO;22820
1721257;TO;1952
1721307;TO;2785
1722081;TO;11783
1722107;TO;11500
2100055;MA;113783
2100105;MA;6631
2100154;MA;12731
2100204;MA;22126
2100303;MA;26979
2100402;MA;8250
2100436;MA;28066
2100477;MA;31967
2100501;MA;11233
2100550;MA;7047
2100600;MA;42017
2100709;MA;27170
2100808;MA;16054
2100832;MA;17582
2100873;MA;15675
2100907;MA;47095
2100956;MA;32825
2101004;MA;30014
2101103;MA;12234
2101202;MA;105094
2101251;MA;17446
2101301;MA;18726
2101350;MA;5696
2101400;MA;96951
2101509;MA;19026
2101608;MA;88895
2101707;MA;63891
2101731;MA;7586
2101772;MA;11347
2101806;MA;5643
2101905;MA;21317
2101939;MA;6102
2101970;MA;8494
2102002;MA;42010
2102036;MA;35095
2102077;MA;16578
2102101;MA;36900
2102150;MA;8841
2102200;MA;28916
2102309;MA;23993
2102325;MA;73595
2102358;MA;15503
2102374;MA;9524
2102408;MA;11255
2102507;MA;19521
2102556;MA;14530
2102606;MA;20376
2102705;MA;22236
2102754;MA;10937
2102804;MA;24151
2102903;MA;24095
2103000;MA;166159
2103109;MA;10711
2103125;MA;8806
2103158;MA;13876
2103174;MA;22056
2103208;MA;80705
2103257;MA;14855
2103307;MA;123368
2103406;MA;49804
2103505;MA;41443
2103554;MA;16559
2103604;MA;65788
2103703;MA;32559
2103752;MA;12923
2103802;MA;23393
2103901;MA;11451
2104008;MA;16971
2104057;MA;43097
2104073;MA;8506
2104081;MA;10559
2104099;MA;19425
2104107;MA;12662
2104206;MA;17812
2104305;MA;12104
2104404;MA;17953
2104503;MA;10931
2104552;MA;18740
2104602;MA;14703
2104628;MA;7878
2104651;MA;10121
2104677;MA;25502
2104701;MA;6261
2104800;MA;70692
2104909;MA;11966
2105005;MA;29143
2105104;MA;27423
2105153;MA;14470
2105203;MA;11453
2105302;MA;259980
2105351;MA;16158
2105401;MA;69233
2105427;MA;26134
2105450;MA;10464
2105476;MA;17123
2105500;MA;23677
2105609;MA;16228
2105658;MA;4334
2105708;MA;50959
2105807;MA;10900
2105906;MA;16369
2105922;MA;11280
2105948;MA;8841
2105963;MA;11534
